loss, Jon Jones, 5, 5:00,Event,Month,Day,Year,Method,Finish,Referee
loss, Josh Neer, 3, 3:38, VFC - Victory Fighting Championship 41,Dec , 14 , 2013, Submission ,Rear-Naked Choke,N/A
loss, Antonio Braga Neto, 1, 1:52, UFC on Fuel TV 10 - Nogueira vs. Werdum,Jun , 08 , 2013, Submission ,Kneebar,Marc Goddard
loss, Roger Gracie, 2, 3:16, Strikeforce - Marquardt vs. Saffiedine,Jan , 12 , 2013, Submission ,Arm-Triangle Choke,John McCarthy
win, Lumumba Sayers, 1, 3:52, Strikeforce - Rousey vs. Kaufman,Aug , 18 , 2012, Submission ,Triangle Choke,Herb Dean
win, Richard White, 1, 2:35, Disorderly Conduct 9 - Fireworks,Jun , 30 , 2012, TKO ,Punches,N/A
win, Ian Berg, 2, 2:01, VFC - Victory Fighting Championship 37,Apr , 13 , 2012, Submission ,Arm-Triangle Choke,N/A
loss, Adlan Amagov, 1, 2:32, Strikeforce - Challengers 20,Nov , 18 , 2011, KO ,Punches,Chris Tognoni
win, Ben Lagman, 2, 0:33, Strikeforce - Challengers 17,Jul , 22 , 2011, KO ,Punch,Josh Rosenthal
win, Curtis Johnson, 1, 3:13, CFC 6 - Slugfest,Jul , 09 , 2011, KO ,Punches,N/A
win, Eric Schambari, 1, 1:46, C3 Fights - MMA Championship Fights,Jun , 04 , 2011, TKO ,Punches,N/A
win, Matt Gabel, 1, 1:50, EC - Extreme Challenge 181,Apr , 15 , 2011, Submission ,Triangle Choke,N/A
win, Demetrius Richards, 2, 2:07, Extreme Challenge - Bad Blood,Feb , 11 , 2011, TKO ,Punches,N/A
win, Ben Crowder, 1, 1:09, CFC 2 - Season's Beatings,Dec , 17 , 2010, KO ,Punch,N/A
loss, Jesse Forbes, 2, 1:28, Crowbar MMA - Fall Brawl,Sep , 11 , 2010, TKO ,Punches,Daniel Grimestad
win, Logan Clark, 2, 2:22, Seconds Out / Vivid MMA - Havoc at the Hyatt 2,Jun , 19 , 2010, TKO ,Doctor Stoppage,N/A
win, Lucas St. Claire, 1, 3:19, MF  - Max Fights 10,May , 08 , 2010, Submission ,Armbar,Jeremy Ryder
win, Mike George, 1, 0:22, TriState Cage Fights - Island Warfare,Apr , 17 , 2010, KO ,Punch,N/A
loss, Jake Hecht, 3, 4:35, VFC 30 - Night of Champions,Feb , 05 , 2010, TKO ,Punches,N/A
loss, Mike Pitz, 2, 3:21, FCI - Fight Club Inc.,Jul , 25 , 2009, TKO ,Submission to Punches,David Smith
loss, Chaun Sims, 2, 2:00, FTW - Colorado vs. Nebraska,Mar , 14 , 2009, TKO ,Punches,Tom Johnson
loss, Brian Monaghan, 1, 0:00, VFC 26 - Onslaught,Feb , 20 , 2009, Submission ,Armbar,N/A
win, Rico Washington, 1, 0:54, MCS - Minnesota Combat Sports,Jan , 09 , 2009, TKO ,Submission to Punches,N/A
loss, Charley Lynch, 1, 3:12, Brutaal - Fight Night,Nov , 06 , 2008, TKO ,Punches,N/A
win, Chuck Parmelee, 2, 1:26, Torment - MMA,Sep , 20 , 2008, SubmissionJosh Arney,,
loss, Chuck Parmelee, 2, 0:00, TCF - TriState Cage Fights,Jun , 14 , 2008, TKO ,Punches,N/A
win, Ricky Duvall, 0, N/A, VFC 23 - Validation,May , 09 , 2008, N/AN/A,,
win, Jeremy Shepherd, 2, 2:13, PP - Pugilistic Productions,Mar , 22 , 2008, SubmissionJosh Amey,,
win, Dave Moran, 2, 1:19, VFC 22 - Ascension,Feb , 29 , 2008, Submission ,Armbar,N/A
