Result, Fighter, R, Time,Event,Month,Day,Year,Method,Finish,Referee
win, Jan Blachowicz, 3, 0:39, UFC Fight Night 145 - Blachowicz vs. Santos,Feb , 23 , 2019, TKO ,Punches,Herb
win, Jimi Manuwa, 2, 0:41, UFC 231 - Holloway vs. Ortega,Dec , 08 , 2018, KO ,Punches,Todd Anderson
win, Eryk Anders, 3, 5:00, UFC Fight Night 137 - Santos vs. Anders,Sep , 22 , 2018, TKO ,Elbows,Marc Goddard
win, Kevin Holland, 3, 5:00, UFC 227 - Dillashaw vs. Garbrandt 2,Aug , 04 , 2018, Decision ,Unanimous,Mike Beltran
loss, David Branch, 1, 2:30, UFC Fight Night 128 - Barboza vs. Lee,Apr , 21 , 2018, KO ,Punches,Gary Copeland
win, Anthony Smith, 2, 1:03, UFC Fight Night 125 - Machida vs. Anders,Feb , 03 , 2018, TKO ,Kick to the Body and Punches,Marc Goddard
win, Jack Hermansson, 1, 4:59, UFC Fight Night 119 - Brunson vs. Machida,Oct , 28 , 2017, TKO ,Punches,Jerin Valel
win, Gerald Meerschaert, 2, 2:04, UFC 213 - Romero vs. Whittaker,Jul , 08 , 2017, TKO ,Punches,Marc Goddard
win, Jack Marshman, 2, 2:21, UFC Fight Night 105 - Lewis vs. Browne,Feb , 19 , 2017, TKO ,Spinning Wheel Kick and Punches,Brad Jardine
loss, Eric Spicely, 1, 2:58, UFC Fight Night 95 - Cyborg vs. Lansberg,Sep , 24 , 2016, Submission ,Rear-Naked Choke,John McCarthy
loss, Gegard Mousasi, 1, 4:32, UFC 200 - Tate vs. Nunes,Jul , 09 , 2016, TKO ,Punches,Marc Goddard
win, Nate Marquardt, 1, 3:39, UFC 198 - Werdum vs. Miocic,May , 14 , 2016, KO ,Punch,Kevin MacDonald
win, Elias Theodorou, 3, 5:00, UFC Fight Night 80 - Namajunas vs. VanZant,Dec , 10 , 2015, Decision ,Unanimous,Marc Goddard
win, Steve Bosse, 1, 0:29, UFC Fight Night 70 - Machida vs. Romero,Jun , 27 , 2015, KO ,Head Kick,James Warring
win, Andy Enz, 1, 1:56, UFC 183 - Silva vs. Diaz,Jan , 31 , 2015, TKO ,Punches,Mark Smith
loss, Uriah Hall, 3, 5:00, UFC 175 - Weidman vs. Machida,Jul , 05 , 2014, Decision ,Unanimous,Yves Lavigne
win, Ronny Markes, 1, 0:53, UFC Fight Night 38 - Shogun vs. Henderson 2,Mar , 23 , 2014, TKO ,Kick to the Body and Punches,Mario Yamasaki
loss, Cezar Ferreira, 1, 0:47, UFC 163 - Aldo vs. Korean Zombie,Aug , 03 , 2013, Submission ,Guillotine Choke,Mario Yamasaki
win, Dennis Bentes Figueira da Fonseca, 1, 0:00, WOCS - Watch Out Combat Show 20,Jul , 27 , 2012, TKO ,Head Kick and Punches,N/A
loss, Vicente Luque, 1, 0:00, Spartan MMA - Spartan MMA 2012,Apr , 28 , 2012, TKO ,Punches,N/A
win, Junior Vidal, 1, 0:00, WOCS - Watch Out Combat Show 18,Mar , 03 , 2012, TKO ,Punches,Luiz Cabelinho
win, Eneas Souza, 3, 2:50, WOCS - Watch Out Combat Show 17,Dec , 17 , 2011, Submission ,Rear-Naked Choke,N/A
win, Marcos Viggiani, 3, 5:00, Spartan MMA - Spartan MMA 2011,Nov , 26 , 2011, Decision ,Unanimous,N/A
win, Rafael Braga, 1, 0:00, EF - Explosion Fight,Aug , 13 , 2011, TKO ,Punches,N/A
win, Mauricio Chueke, 3, 5:00, WOCS - Watch Out Combat Show 14,Jul , 23 , 2011, Decision ,Unanimous,N/A
win, Gabriel Barreiro, 2, 1:53, SF - Senna Fight,Apr , 16 , 2011, TKO ,Punches,N/A
win, Guilherme Benedito Nunes, 3, 5:00, WOCS - Watch Out Combat Show 10,Dec , 10 , 2010, Decision ,Unanimous,N/A
Result, Fighter, R, Time, E,vent,,, Method/Referee,,
loss, Armando Sixel, 1, 0:00, RFC - Rio FC 2,Jun , 20 , 2009, Submission ,Arm-Triangle Choke,Fernando Paulon
