Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Alexander Gustafsson,win, Cyrille Diabate,2, 2:41, UFC 120 - Bisping vs. Akiyama,Oct ,16.0,2010.0, Submission ,Rear-Naked Choke,Leon Roberts
Alexander Gustafsson,loss, Phil Davis,1, 4:55, UFC 112 - Invincible,Apr ,10.0,2010.0, Submission ,Anaconda Choke,Dan Miragliotta
Alexander Gustafsson,win, Jared Hamman,1, 0:41, UFC 105 - Couture vs. Vera,Nov ,14.0,2009.0, KO ,Punches,Kevin Mulhall
Alexander Gustafsson,win, Vladimir Shemarov,1, 2:37, Superior Challenge 3 - Untamed,May ,30.0,2009.0, KO ,Punches,
Alexander Gustafsson,win, Pedro Quetglas,1, 2:08, The Zone FC 3 - Shockwave,Nov ,8.0,2008.0, TKO ,Punches,
Alexander Gustafsson,win, Krzysztof Kulak,2, 5:00, KSW - Extra,Sep ,13.0,2008.0, Decision ,Unanimous,Robert Kostecki
Alexander Gustafsson,win, Matteo Minonzio,1, 3:52, The Zone FC 2 - Showdown,May ,10.0,2008.0, TKO ,Punches,
Alexander Gustafsson,win, Florian Muller,2, 3:44, FS - Fite Selektor,Mar ,13.0,2008.0, TKO ,Punches,
Alexander Gustafsson,win, Farbod Fadami,1, 2:31, The Zone FC 1 - The Zone,Feb ,9.0,2008.0, TKO ,Punches,
Alexander Gustafsson,win, Mikael Haydari,1, 0:50, FF 9 - FinnFight 9,Dec ,15.0,2007.0, TKO ,Punches,
Alexander Gustafsson,win, Saku Heikkola,2, 3:42, Shooto Finland - Chicago Collision 3,Nov ,17.0,2007.0, Submission ,Rear-Naked Choke,
Anthony Smith,win, Alexander Gustafsson,4, 2:38, UFC Fight Night 153 - Gustafsson vs. Smith,Jun ,1.0,2019.0, Submission ,Rear-Naked Choke,Marc Goddard
Anthony Smith,loss, Jon Jones,5, 5:00, UFC 235 - Jones vs. Smith,Mar ,2.0,2019.0, Decision ,Unanimous,Herb Dean
Anthony Smith,win, Volkan Oezdemir,3, 4:26, UFC Fight Night 138 - Oezdemir vs. Smith,Oct ,27.0,2018.0, Submission ,Rear-Naked Choke,Yves Lavigne
Anthony Smith,win, Mauricio Rua,1, 1:29, UFC Fight Night 134 - Shogun vs. Smith,Jul ,22.0,2018.0, KO ,Elbow,Marc Goddard
Anthony Smith,win, Rashad Evans,1, 0:53, UFC 225 - Whittaker vs. Romero 2,Jun ,9.0,2018.0, KO ,Knee,Dan Miragliotta
Anthony Smith,loss, Thiago Santos,2, 1:03, UFC Fight Night 125 - Machida vs. Anders,Feb ,3.0,2018.0, TKO ,Kick to the Body and Punches,Marc Goddard
Anthony Smith,win, Hector Lombard,3, 2:33, UFC Fight Night 116 - Rockhold vs. Branch,Sep ,16.0,2017.0, KO ,Punch,Dan Miragliotta
Anthony Smith,win, Andrew Sanchez,3, 3:52, UFC on Fox 24 - Johnson vs. Reis,Apr ,15.0,2017.0, KO ,Head Kick and Punches,Keith Peterson
